Year,Month,Temperature ,Rain
1959,7,28.07,443.91
1959,8,27.91,553.26
1959,9,27.34,388.11
1959,10,26.15,402.99
1959,11,22.4,0.2
1959,12,19.42,4.45
1960,1,18.09,0.04
1960,2,22.12,0.98
1960,3,23.96,47.32
1960,4,29.22,27.06
1960,5,29.22,250.84
1960,6,28.62,360.87
1960,7,27.52,669.32
1960,8,28.45,347.8
1960,9,27.87,389.23
1960,10,26.88,134.6
1960,11,22.41,29.93
1960,12,19.8,0.58
1961,1,19.07,6.16
1961,2,19.07,22.71
1961,3,26.06,22.31
1961,4,28.56,87.4
1961,5,28.47,192.68
1961,6,27.95,972.54
1961,7,28.08,294.59
1961,8,28.26,510.77
1961,9,27.86,208.66
1961,10,26.82,169.7
1961,11,22.03,5.16
1961,12,17.54,0.61
1962,1,17.08,8.67
1962,2,20.63,22.3
1962,3,25.11,6.05
1962,4,28.1,95.3
1962,5,27.93,319.34
1962,6,27.94,399.43
1962,7,28.65,509.04
1962,8,27.88,401.38
1962,9,28.39,207.68
1962,10,26.44,170.02
1962,11,22.45,0.17
1962,12,19.17,0.74
1963,1,17.78,0.58
1963,2,21.97,0.92
1963,3,24.95,33.63
1963,4,26.93,117.51
1963,5,27.17,272.53
1963,6,27.95,459.49
1963,7,28.09,572.23
1963,8,28.3,299.13
1963,9,28.43,266.53
1963,10,26.58,238.53
1963,11,22.96,13.32
1963,12,19.71,0.79
1964,1,17.97,5.94
1964,2,21.12,19.89
1964,3,26.26,24.74
1964,4,27.26,213.13
1964,5,27.89,238.66
1964,6,28.28,502.62
1964,7,27.31,569.58
1964,8,28.23,326.53
1964,9,28.18,270.62
1964,10,27.15,316.16
1964,11,23.52,29.86
1964,12,19.79,0.15
1965,1,18.68,0.27
1965,2,20.47,37.11
1965,3,23.86,37.49
1965,4,27.46,52.9
1965,5,28.68,192.22
1965,6,28.05,448.92
1965,7,27.56,602.78
1965,8,27.19,556.13
1965,9,27.74,286.95
1965,10,26.58,102.26
1965,11,23.2,33.23
1965,12,19.79,14.7
1966,1,18.48,15.44
1966,2,22.16,0.88
1966,3,25.12,22.89
1966,4,28.51,53.48
1966,5,29.18,183.66
1966,6,27.73,423.55
1966,7,28.21,429.89
1966,8,27.92,456.18
1966,9,27.7,318.38
1966,10,25.72,175.73
1966,11,23.72,23.68
1966,12,19.13,29.18
1967,1,18.61,24.2
1967,2,21.29,3.72
1967,3,23.84,95.09
1967,4,26.57,145.83
1967,5,28.2,197.06
1967,6,28.16,318.58
1967,7,28.08,511.04
1967,8,27.98,377.76
1967,9,27.43,363.87
1967,10,26.1,132.54
1967,11,21.65,2.1
1967,12,19.6,0.46
1968,1,17.98,8.01
1968,2,19.64,7.76
1968,3,24.96,53.23
1968,4,27.17,107.73
1968,5,28.08,267.95
1968,6,26.97,800.14
1968,7,27.79,511
1968,8,28.03,415.25
1968,9,28.44,199.11
1968,10,26.44,128.78
1968,11,23.13,23.78
1968,12,19.55,1.32
1969,1,17.85,3.67
1969,2,21.05,0.75
1969,3,25.81,90.94
1969,4,27.87,157.08
1969,5,28.66,125.66
1969,6,28.18,416.23
1969,7,28.13,543.45
1969,8,27.31,539.16
1969,9,28.08,324.49
1969,10,26.45,66.71
1969,11,23.21,25.07
1969,12,19.56,0.6
1970,1,17.87,16.71
1970,2,20.84,16.36
1970,3,25.14,30.21
1970,4,28.18,88.69
1970,5,28.82,153.28
1970,6,28.11,636.67
1970,7,27.78,550.9
1970,8,28.05,421.07
1970,9,27.78,404.49
1970,10,26.35,296.9
1970,11,22.85,55.89
1970,12,19.17,0.05
1971,1,18.19,11.87
1971,2,19.78,6.31
1971,3,24.45,8.55
1971,4,26.22,69.89
1971,5,27.45,147.57
1971,6,27.44,363.69
1971,7,27.19,517.82
1971,8,26.94,478.91
1971,9,27.82,279.09
1971,10,26.65,160.66
1971,11,22.23,71.97
1971,12,19.32,0.24
1972,1,18.72,1.35
1972,2,18.68,26.51
1972,3,25.09,25.27
1972,4,27.2,104.87
1972,5,29.09,155.08
1972,6,28.28,318
1972,7,28.33,375.33
1972,8,27.48,424.78
1972,9,28.11,199.34
1972,10,26.63,87.84
1972,11,23.15,2.58
1972,12,19.45,0.02
1973,1,18.87,4.8
1973,2,21.91,31.06
1973,3,24.14,46.48
1973,4,28.58,111.75
1973,5,27.04,492.83
1973,6,27.83,478.21
1973,7,28.21,430.43
1973,8,27.98,287.73
1973,9,27.67,384.06
1973,10,26.76,174.96
1973,11,22.97,96.37
1973,12,19.01,44.24
1974,1,17.63,5.49
1974,2,20.15,0.05
1974,3,24.62,118.33
1974,4,27.22,148.73
1974,5,27.69,333.85
1974,6,27.85,382.05
1974,7,27.05,780.36
1974,8,27.91,375.05
1974,9,27.45,334.66
1974,10,27.61,219.24
1974,11,24.12,20.37
1974,12,18.26,0.72
1975,1,18.05,2.66
1975,2,20.73,12.48
1975,3,25.46,12.82
1975,4,28.2,94.6
1975,5,28.01,251.87
1975,6,28.38,338.62
1975,7,27.12,682.34
1975,8,27.98,279.51
1975,9,27.52,343.69
1975,10,27.4,195.54
1975,11,22.44,51.62
1975,12,18.31,0.86
1976,1,18.33,1.19
1976,2,21.19,17.16
1976,3,25.52,31.14
1976,4,27.8,81.96
1976,5,27.42,284.8
1976,6,27.52,652.31
1976,7,27.85,473.48
1976,8,27.39,435.3
1976,9,27.89,215.45
1976,10,26.59,98.28
1976,11,24.37,41.44
1976,12,19.11,2.17
1977,1,17.95,3.89
1977,2,20.37,33.82
1977,3,26.32,25.98
1977,4,26.17,304.99
1977,5,26.4,329.39
1977,6,27.15,490.91
1977,7,27.98,514.17
1977,8,28.13,287.44
1977,9,28.3,184.8
1977,10,26.02,149.4
1977,11,23.72,35.87
1977,12,19.18,19.7
1978,1,16.8,0.69
1978,2,20.2,7.29
1978,3,24.05,25.21
1978,4,27.07,137.16
1978,5,27.38,363.31
1978,6,27.49,488.34
1978,7,27.92,425.1
1978,8,28.61,359.02
1978,9,27.69,372.46
1978,10,27.52,107.96
1978,11,24.03,8.65
1978,12,19.76,0.59
1979,1,19.17,11.84
1979,2,20.05,15.31
1979,3,24.92,20.51
1979,4,28.24,80.03
1979,5,29.53,116.38
1979,6,28.8,425.38
1979,7,28.28,526.51
1979,8,28.23,536.17
1979,9,28.04,417.9
1979,10,26.95,113.73
1979,11,25.11,25.51
1979,12,20.07,40.26
1980,1,18.27,3.37
1980,2,20.65,42.19
1980,3,25.04,60.71
1980,4,28.79,74.2
1980,5,27.17,347.53
1980,6,28.22,340.66
1980,7,28.1,516.12
1980,8,28.16,395.61
1980,9,28.4,246.29
1980,10,26.41,185.85
1980,11,23.34,1.62
1980,12,20.36,0.86
1981,1,18.32,23.51
1981,2,20.64,27.51
1981,3,24.17,86.76
1981,4,25.72,378.9
1981,5,27.13,326.6
1981,6,28.55,405.93
1981,7,27.68,679.56
1981,8,28.46,376.86
1981,9,27.92,264.71
1981,10,27.23,22.2
1981,11,23.44,1.1
1981,12,19.04,44.41
1982,1,18.99,0.37
1982,2,20.51,21.12
1982,3,23.75,39.2
1982,4,26.82,179.32
1982,5,28.97,166.78
1982,6,28,413.27
1982,7,28.51,420.96
1982,8,27.91,544.53
1982,9,28.17,284.62
1982,10,27.06,39.42
1982,11,22.6,38.91
1982,12,18.85,3.5
1983,1,18,11.4
1983,2,19.72,36.68
1983,3,24.61,104.06
1983,4,26.97,191.06
1983,5,27.47,377.11
1983,6,28.79,396.94
1983,7,28.59,434.31
1983,8,28.15,484.3
1983,9,28.11,305.01
1983,10,27.02,280.98
1983,11,23.83,19.6
1983,12,18.86,32.12
1984,1,17.79,15.92
1984,2,19.95,4.05
1984,3,25.54,9.63
1984,4,28.25,172.02
1984,5,27.65,507.68
1984,6,27.89,565.81
1984,7,27.74,715.06
1984,8,28.19,427.29
1984,9,27.49,381.45
1984,10,27.55,129.73
1984,11,23,4.52
1984,12,19.65,6.63
1985,1,18.82,7.44
1985,2,20.62,10.79
1985,3,26.26,95.98
1985,4,28.3,119.02
1985,5,27.64,325.36
1985,6,28.23,498.39
1985,7,27.31,409.88
1985,8,28.39,359.35
1985,9,27.86,325.07
1985,10,27.09,97.38
1985,11,23.09,26.37
1985,12,20.44,5.69
1986,1,18.89,5.98
1986,2,21.07,2.43
1986,3,25.61,17.39
1986,4,27.05,179.74
1986,5,27.64,210.66
1986,6,28.9,296.93
1986,7,27.81,571.74
1986,8,28.49,304.7
1986,9,27.34,460.34
1986,10,26.1,252.87
1986,11,23.69,135.81
1986,12,20.05,6.84
1987,1,18.9,3.04
1987,2,21.72,9.39
1987,3,24.8,57.13
1987,4,27.45,210.2
1987,5,28.51,137.36
1987,6,29.25,521.27
1987,7,28.01,589.1
1987,8,28.14,634.12
1987,9,28.26,357.25
1987,10,27.35,119.27
1987,11,24.24,29.03
1987,12,20.36,15.9
1988,1,19.26,0.88
1988,2,21.78,31.2
1988,3,25.12,70.32
1988,4,28.22,205.35
1988,5,27.95,418.67
1988,6,28.07,517.33
1988,7,28.15,546.47
1988,8,28.12,479.41
1988,9,28.58,281.16
1988,10,27.45,164.22
1988,11,24.27,91.52
1988,12,21.05,12.05
1989,1,17.51,2.88
1989,2,20.81,18.65
1989,3,25.03,15.34
1989,4,28.48,93.42
1989,5,29.02,287.09
1989,6,28.25,370.97
1989,7,28.13,480.33
1989,8,28.51,176.28
1989,9,28.14,333.96
1989,10,27.1,270.98
1989,11,23.38,3.82
1989,12,19,4.32
1990,1,19.47,1.03
1990,2,21.11,45.73
1990,3,23.77,104.69
1990,4,26.55,222.12
1990,5,28.01,278.32
1990,6,28.55,521.46
1990,7,27.92,522.19
1990,8,28.5,358.34
